epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.71536,0.47584,1,1,0.01278,0.00021,0.00021,0.07921
2,2.82424,0.1381,1,1,0.00756,0.000421486,0.000421486,0.0574215
3,3.80074,0.13889,1,1,6e-05,0.00062426,0.00062426,0.0356243
4,4.75598,0.09063,1,1,0.00011,0.000818322,0.000818322,0.0138183
5,5.72966,0.17737,1,1,9e-05,0.0009208,0.0009208,0.0009208
6,6.68828,0.14185,1,1,8e-05,0.000901,0.000901,0.000901
7,7.65332,0.17924,1,1,0.00015,0.0008812,0.0008812,0.0008812
8,8.63095,0.14111,1,1,3e-05,0.0008614,0.0008614,0.0008614
9,9.59355,0.13531,1,1,0.00027,0.0008416,0.0008416,0.0008416
10,10.5666,0.0908,1,1,0.00012,0.0008218,0.0008218,0.0008218
11,11.5306,0.11339,1,1,9e-05,0.000802,0.000802,0.000802
12,12.4936,0.11556,1,1,0.00016,0.0007822,0.0007822,0.0007822
13,13.4635,0.09207,1,1,0.00026,0.0007624,0.0007624,0.0007624
14,14.4268,0.08135,1,1,8e-05,0.0007426,0.0007426,0.0007426
15,15.3878,0.11067,1,1,9e-05,0.0007228,0.0007228,0.0007228
16,16.4039,0.08003,1,1,2e-05,0.000703,0.000703,0.000703
