epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.47067,0.60974,0.99,1,0.17047,0.00021,0.00021,0.07921
2,2.04983,0.14425,1,1,0.00197,0.000421486,0.000421486,0.0574215
3,2.51939,0.1916,1,1,0.00185,0.00062426,0.00062426,0.0356243
4,2.96844,0.15755,1,1,0.00072,0.000818322,0.000818322,0.0138183
5,3.41709,0.15263,1,1,0.00128,0.0009208,0.0009208,0.0009208
6,3.86389,0.10198,1,1,0.00016,0.000901,0.000901,0.000901
7,4.31116,0.09889,1,1,0.00021,0.0008812,0.0008812,0.0008812
8,4.76326,0.11003,1,1,4e-05,0.0008614,0.0008614,0.0008614
9,5.2206,0.11708,1,1,0.00382,0.0008416,0.0008416,0.0008416
10,5.66975,0.09197,1,1,0.00012,0.0008218,0.0008218,0.0008218
11,6.11877,0.10639,1,1,0.0003,0.000802,0.000802,0.000802
12,6.56832,0.10771,1,1,0.0002,0.0007822,0.0007822,0.0007822
13,7.01978,0.08357,1,1,0.00018,0.0007624,0.0007624,0.0007624
14,7.47116,0.0909,1,1,0.00021,0.0007426,0.0007426,0.0007426
15,7.92213,0.10154,1,1,0.0001,0.0007228,0.0007228,0.0007228
16,8.39725,0.07487,1,1,8e-05,0.000703,0.000703,0.000703
17,8.85293,0.08745,1,1,0.00023,0.0006832,0.0006832,0.0006832
