epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.55628,0.54543,0.98,1,0.03829,0.00021,0.00021,0.07921
2,2.21208,0.11527,1,1,1e-05,0.000421486,0.000421486,0.0574215
3,2.77316,0.15539,1,1,0.00012,0.00062426,0.00062426,0.0356243
4,3.31025,0.10451,0.92,1,0.21228,0.000818322,0.000818322,0.0138183
5,3.84286,0.14074,1,1,0.00017,0.0009208,0.0009208,0.0009208
6,4.37653,0.09637,1,1,0.00442,0.000901,0.000901,0.000901
7,4.91332,0.14745,1,1,4e-05,0.0008812,0.0008812,0.0008812
8,5.44202,0.12411,1,1,0.00312,0.0008614,0.0008614,0.0008614
9,5.9789,0.13005,1,1,1e-05,0.0008416,0.0008416,0.0008416
10,6.50588,0.10262,1,1,0.00071,0.0008218,0.0008218,0.0008218
11,7.04072,0.11587,1,1,8e-05,0.000802,0.000802,0.000802
12,7.56968,0.1062,1,1,0.00057,0.0007822,0.0007822,0.0007822
13,8.10648,0.09157,1,1,0.00088,0.0007624,0.0007624,0.0007624
14,8.63879,0.07643,1,1,0.00013,0.0007426,0.0007426,0.0007426
15,9.17278,0.09747,1,1,8e-05,0.0007228,0.0007228,0.0007228
16,9.70178,0.07254,1,1,0.00046,0.000703,0.000703,0.000703
17,10.2523,0.07124,1,1,0.00046,0.0006832,0.0006832,0.0006832
