epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.31617,0.68646,1,1,0.02418,0.00021,0.00021,0.07921
2,4.28472,0.10552,1,1,0.00998,0.000421486,0.000421486,0.0574215
3,6.16527,0.14734,1,1,0.0009,0.00062426,0.00062426,0.0356243
4,8.02055,0.10325,1,1,0.00184,0.000818322,0.000818322,0.0138183
5,9.88438,0.09539,1,1,0.0005,0.0009208,0.0009208,0.0009208
6,11.7352,0.06171,1,1,0.0003,0.000901,0.000901,0.000901
7,13.5985,0.07573,1,1,0.00901,0.0008812,0.0008812,0.0008812
8,15.484,0.0889,1,1,0.0004,0.0008614,0.0008614,0.0008614
9,17.5039,0.07647,1,1,0.00018,0.0008416,0.0008416,0.0008416
10,19.5015,0.06316,1,1,0.00531,0.0008218,0.0008218,0.0008218
11,21.5314,0.07428,1,1,0.00015,0.000802,0.000802,0.000802
12,23.5114,0.06051,1,1,0.00633,0.0007822,0.0007822,0.0007822
13,25.5098,0.0641,1,1,0.0003,0.0007624,0.0007624,0.0007624
14,27.589,0.05671,1,1,0.0001,0.0007426,0.0007426,0.0007426
15,29.6657,0.06561,1,1,0.00034,0.0007228,0.0007228,0.0007228
16,31.8087,0.06081,1,1,4e-05,0.000703,0.000703,0.000703
