epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.60892,0.77762,1,1,0.09,0.00021,0.00021,0.07921
2,2.68077,0.12364,1,1,0.00191,0.000421486,0.000421486,0.0574215
3,3.6398,0.10081,1,1,0.00019,0.00062426,0.00062426,0.0356243
4,4.57429,0.09976,1,1,0.00029,0.000818322,0.000818322,0.0138183
5,5.50959,0.13448,1,1,0.00107,0.0009208,0.0009208,0.0009208
6,6.45358,0.09343,1,1,0.00252,0.000901,0.000901,0.000901
7,7.39021,0.08622,1,1,0.00235,0.0008812,0.0008812,0.0008812
8,8.32844,0.09273,1,1,0.00081,0.0008614,0.0008614,0.0008614
9,9.26792,0.08104,1,1,0.00078,0.0008416,0.0008416,0.0008416
10,10.2076,0.05312,1,1,0.00047,0.0008218,0.0008218,0.0008218
11,11.146,0.05788,1,1,0.00019,0.000802,0.000802,0.000802
12,12.0881,0.10497,1,1,0.00023,0.0007822,0.0007822,0.0007822
13,13.0247,0.06022,1,1,0.00203,0.0007624,0.0007624,0.0007624
14,13.963,0.06269,1,1,0.0005,0.0007426,0.0007426,0.0007426
15,14.9012,0.07661,1,1,0.00029,0.0007228,0.0007228,0.0007228
16,15.8287,0.05325,1,1,0.0001,0.000703,0.000703,0.000703
