epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.49624,0.85661,0.98,1,0.41687,0.00021,0.00021,0.07921
2,1.91142,0.23336,1,1,0.01073,0.000421486,0.000421486,0.0574215
3,2.31529,0.12613,1,1,0.00079,0.00062426,0.00062426,0.0356243
4,2.69945,0.10395,1,1,0.00033,0.000818322,0.000818322,0.0138183
5,3.08856,0.10314,1,1,0.00022,0.0009208,0.0009208,0.0009208
6,3.47815,0.06704,1,1,0.00123,0.000901,0.000901,0.000901
7,3.86706,0.07692,1,1,0.00088,0.0008812,0.0008812,0.0008812
8,4.25776,0.07164,1,1,0.00022,0.0008614,0.0008614,0.0008614
9,4.64811,0.08592,1,1,8e-05,0.0008416,0.0008416,0.0008416
10,5.03632,0.06917,1,1,0.00029,0.0008218,0.0008218,0.0008218
11,5.42808,0.06181,1,1,0.00022,0.000802,0.000802,0.000802
12,5.82104,0.06124,1,1,0.00016,0.0007822,0.0007822,0.0007822
13,6.21475,0.06458,1,1,8e-05,0.0007624,0.0007624,0.0007624
14,6.61106,0.03947,1,1,0.00023,0.0007426,0.0007426,0.0007426
15,7.00611,0.04943,1,1,9e-05,0.0007228,0.0007228,0.0007228
16,7.401,0.04377,1,1,0.0001,0.000703,0.000703,0.000703
17,7.79953,0.04643,1,1,5e-05,0.0006832,0.0006832,0.0006832
