epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5634,1.47216,2.85956,1.70573,0.00276,0.26144,0.00788,0.0023,2.34593,3.82153,3.26842,0.000324324,0.000324324,0.0678919
2,16.1451,1.42028,1.85806,1.61881,0.48021,0.35845,0.34478,0.14339,1.66133,2.33069,2.17864,0.000651147,0.000651147,0.0348854
3,21.2915,1.38883,1.68162,1.60463,0.39159,0.39222,0.38508,0.17405,1.70514,2.07817,2.12842,0.000971369,0.000971369,0.00187227
4,26.3499,1.37407,1.52825,1.58131,0.28106,0.46419,0.45086,0.22617,1.5475,1.98404,2.02838,0.0009703,0.0009703,0.0009703
5,31.4118,1.38494,1.46398,1.58523,0.41266,0.57116,0.49659,0.24931,1.46244,1.73457,1.84104,0.0009604,0.0009604,0.0009604
6,36.4729,1.32122,1.37355,1.54291,0.56466,0.519,0.58108,0.28999,1.51798,1.951,1.97742,0.0009505,0.0009505,0.0009505
7,41.5595,1.32657,1.31274,1.53475,0.49033,0.75831,0.71607,0.36612,1.37157,1.31677,1.76214,0.0009406,0.0009406,0.0009406
8,46.6719,1.32372,1.28239,1.54666,0.71224,0.57987,0.6641,0.34547,1.42759,1.2835,1.76346,0.0009307,0.0009307,0.0009307
9,51.7641,1.29948,1.24588,1.51491,0.59179,0.66408,0.75187,0.41115,1.40526,1.15214,1.78912,0.0009208,0.0009208,0.0009208
10,56.8054,1.30487,1.22074,1.53399,0.75476,0.50474,0.61778,0.33447,1.38013,1.39533,1.741,0.0009109,0.0009109,0.0009109
11,61.8865,1.27075,1.12885,1.48455,0.56494,0.59756,0.66992,0.36411,1.44901,1.14792,1.78088,0.000901,0.000901,0.000901
12,67.1212,1.26129,1.14242,1.47662,0.6496,0.72307,0.7343,0.36848,1.39637,1.13733,1.7691,0.0008911,0.0008911,0.0008911
13,72.2303,1.26994,1.11594,1.4867,0.69541,0.71147,0.78644,0.45028,1.28808,1.0978,1.65928,0.0008812,0.0008812,0.0008812
14,77.322,1.24745,1.06114,1.4594,0.73813,0.60253,0.67475,0.38409,1.28147,1.18035,1.66872,0.0008713,0.0008713,0.0008713
15,82.4287,1.21684,1.03296,1.4487,0.76117,0.72504,0.81387,0.46085,1.40033,0.96509,1.75099,0.0008614,0.0008614,0.0008614
16,87.5212,1.20817,1.01384,1.44596,0.73597,0.72941,0.83036,0.48021,1.26938,0.96808,1.62694,0.0008515,0.0008515,0.0008515
17,92.6616,1.20568,1.04646,1.45902,0.81632,0.79123,0.89895,0.51663,1.24039,0.95132,1.61022,0.0008416,0.0008416,0.0008416
18,97.8376,1.20158,1.00207,1.44009,0.76855,0.85225,0.88137,0.5034,1.30439,0.89476,1.67518,0.0008317,0.0008317,0.0008317
19,102.988,1.19505,0.97431,1.42338,0.6651,0.75674,0.83941,0.47969,1.21186,0.96853,1.61434,0.0008218,0.0008218,0.0008218
20,108.16,1.20375,0.98505,1.45234,0.58591,0.86989,0.82127,0.47781,1.25195,0.80899,1.6328,0.0008119,0.0008119,0.0008119
21,113.282,1.17319,0.92985,1.41701,0.75603,0.80075,0.85709,0.4872,1.23451,0.92006,1.62674,0.000802,0.000802,0.000802
22,118.531,1.14694,0.90751,1.40486,0.79349,0.73342,0.80788,0.46677,1.26588,1.02757,1.6673,0.0007921,0.0007921,0.0007921
23,123.694,1.17416,0.93546,1.43581,0.83184,0.84171,0.92059,0.52155,1.25544,0.83854,1.61248,0.0007822,0.0007822,0.0007822
24,128.808,1.17021,0.90738,1.42097,0.81755,0.7774,0.93155,0.54041,1.17753,0.78116,1.56507,0.0007723,0.0007723,0.0007723
25,133.974,1.13864,0.8848,1.39186,0.83265,0.84,0.91684,0.53148,1.19212,0.74918,1.58057,0.0007624,0.0007624,0.0007624
26,139.103,1.12019,0.87532,1.37988,0.80735,0.83129,0.89385,0.53408,1.21154,0.78852,1.56382,0.0007525,0.0007525,0.0007525
27,144.232,1.12849,0.88448,1.39074,0.73354,0.85547,0.88431,0.52091,1.19542,0.82269,1.5621,0.0007426,0.0007426,0.0007426
28,149.408,1.12436,0.86113,1.39393,0.81695,0.81491,0.86574,0.51321,1.23322,0.80051,1.62063,0.0007327,0.0007327,0.0007327
29,154.553,1.11474,0.84891,1.37487,0.88528,0.84603,0.93674,0.54208,1.19985,0.68926,1.58561,0.0007228,0.0007228,0.0007228
30,159.669,1.10883,0.81454,1.37824,0.82545,0.79673,0.88847,0.52425,1.15037,0.69828,1.53406,0.0007129,0.0007129,0.0007129
31,164.874,1.14168,0.84118,1.37237,0.86632,0.79353,0.90651,0.51444,1.21102,0.86103,1.58689,0.000703,0.000703,0.000703
32,170.038,1.10103,0.80656,1.3668,0.89384,0.81508,0.92762,0.55634,1.14525,0.73146,1.50751,0.0006931,0.0006931,0.0006931
33,175.246,1.08765,0.79918,1.36117,0.81491,0.85497,0.8969,0.52252,1.22878,0.76849,1.57839,0.0006832,0.0006832,0.0006832
34,180.396,1.09627,0.81286,1.36381,0.82929,0.74943,0.87153,0.53925,1.13858,0.72564,1.50961,0.0006733,0.0006733,0.0006733
35,185.552,1.0943,0.77893,1.35329,0.83595,0.91135,0.95207,0.56703,1.15969,0.66268,1.53614,0.0006634,0.0006634,0.0006634
